group,Iraq,Pakistan,Afghanistan,India,Colombia,Philippines,Peru,El Salvador,UK,Turkey,Other
Taliban,0.0,54.0,7423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ISIL,4797.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,2.0,82.0,706.0
Shining Path (SL),0.0,0.0,0.0,0.0,4.0,0.0,4541.0,0.0,0.0,0.0,10.0
FMLN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3330.0,0.0,0.0,21.0
Al-Shabaab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3288.0
NPA,0.0,1.0,0.0,1.0,0.0,2770.0,0.0,0.0,0.0,0.0,0.0
Irish Republican Army (IRA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2575.0,0.0,96.0
FARC,0.0,0.0,0.0,0.0,2468.0,0.0,4.0,0.0,0.0,0.0,15.0
Boko Haram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2418.0
Kurdistan Workers' Party (PKK),23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2109.0,177.0
ETA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024.0
CPI-Maoist,0.0,0.0,0.0,1877.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Maoists,0.0,0.0,0.0,1396.0,0.0,0.0,4.0,0.0,0.0,0.0,230.0
Tamil Tigers (LTTE),0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1598.0
ELN,0.0,0.0,0.0,0.0,1529.0,0.0,0.0,0.0,0.0,0.0,32.0
Tehrik-i-Taliban Pakistan (TTP),0.0,1335.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Palestinians,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1119.0
Houthi extremists (Ansar Allah),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1062.0
Al-Qaida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1019.0
