group,count
Unknown,82782
Taliban,7478
Islamic State of Iraq and the Levant (ISIL),5613
Shining Path (SL),4555
Farabundo Marti National Liberation Front (FMLN),3351
Al-Shabaab,3288
New People's Army (NPA),2772
Irish Republican Army (IRA),2671
Revolutionary Armed Forces of Colombia (FARC),2487
Boko Haram,2418
Kurdistan Workers' Party (PKK),2310
Basque Fatherland and Freedom (ETA),2024
Communist Party of India - Maoist (CPI-Maoist),1878
Maoists,1630
Liberation Tigers of Tamil Eelam (LTTE),1606
National Liberation Army of Colombia (ELN),1561
Tehrik-i-Taliban Pakistan (TTP),1351
Palestinians,1125
Houthi extremists (Ansar Allah),1062
Al-Qaida in the Arabian Peninsula (AQAP),1020
